gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cancertype
ENSG00000118513,1562.54965032892,4.71940582388251,0.385333055407632,12.2476018022643,1.73037444097205e-34,2.19100011715881e-30,AML
ENSG00000117632,647.122936713857,3.79936576166512,0.369068464818852,10.2944741256339,7.46262143979263e-25,4.72458563353271e-21,AML
ENSG00000104738,657.169945690449,3.41160993554861,0.33486865854001,10.1879045665929,2.24552010230042e-24,9.47759184510929e-21,AML
ENSG00000104889,308.426295290248,2.45313990816617,0.244746008693312,10.0232070024896,1.20527282411233e-23,3.81529112472757e-20,AML
ENSG00000276043,470.277115797792,4.48537440530038,0.448831832222763,9.99344093552219,1.62829247783139e-23,4.1234878708602e-20,AML
ENSG00000165672,588.374015908325,1.80190435121787,0.181436266789484,9.93133502525475,3.04155655842939e-23,6.41869819047215e-20,AML
ENSG00000131828,568.755180209001,1.82643030799253,0.184667910549333,9.89035021059932,4.58421373203394e-23,8.29218775357339e-20,AML
ENSG00000117602,380.998206816938,-3.03317982596611,0.308265098861725,-9.83951747105392,7.60748220197601e-23,1.20407424551775e-19,AML
ENSG00000135315,603.317596811226,-2.9717204658271,0.302721281897115,-9.81668829889894,9.54270303877708e-23,1.34255228752217e-19,AML
ENSG00000183207,866.676921377122,2.27511417861799,0.232999714888328,9.76445048316222,1.59976902343986e-22,2.02562753747955e-19,AML
ENSG00000169429,738.08227552105,-7.03832146231144,0.729026281064517,-9.65441390128507,4.70843917060761e-22,5.41984152529395e-19,AML
ENSG00000166840,41.5993983642192,-4.54907653949585,0.472504759928865,-9.62757822837744,6.1153724623134e-22,6.45273717648436e-19,AML
ENSG00000116299,25.9843327181145,-4.28094420703683,0.445609252805843,-9.60694639997093,7.47323978562355e-22,7.27893555119734e-19,AML
ENSG00000161921,155.899684444666,-3.75978583918216,0.392991660593463,-9.56708809928548,1.09958997679246e-21,9.94500591867576e-19,AML
ENSG00000122971,239.340275729392,1.87605423724018,0.196334561043061,9.55539476734671,1.23113649771698e-21,1.03924335560616e-18,AML
ENSG00000185198,504.532719261691,6.70909603635696,0.709780460827974,9.4523538004,3.31295467822957e-21,2.62178950848393e-18,AML
ENSG00000112245,1180.60215536756,-2.48255154502465,0.26334704611107,-9.42692003455245,4.22307266056602e-21,3.14544388400511e-18,AML
ENSG00000183010,212.441679621712,4.06485146426713,0.432719849759783,9.393725447362,5.79147332379591e-21,4.07397973477243e-18,AML
ENSG00000162819,1671.22821183511,-2.33874901204571,0.250032887607019,-9.35376555631977,8.45815954398215e-21,5.63669558662642e-18,AML
ENSG00000106263,1773.38257389813,1.49303525083863,0.160332969819006,9.31209128430702,1.2533973103503e-20,7.93525837182772e-18,AML
ENSG00000198836,2786.33803988421,-2.75156775934283,0.296520521764934,-9.27951881024992,1.7024566771807e-20,1.02650030697439e-17,AML
