set	ensembl_gene	gene_name
DLBCL vs CONTROL	ENSG00000004897	CDC27
DLBCL vs CONTROL	ENSG00000031003	FAM13B
DLBCL vs CONTROL	ENSG00000066777	ARFGEF1
DLBCL vs CONTROL	ENSG00000068308	OTUD5
DLBCL vs CONTROL	ENSG00000068831	RASGRP2
DLBCL vs CONTROL	ENSG00000074201	CLNS1A
DLBCL vs CONTROL	ENSG00000078369	GNB1
DLBCL vs CONTROL	ENSG00000091490	SEL1L3
DLBCL vs CONTROL	ENSG00000092929	UNC13D
DLBCL vs CONTROL	ENSG00000094975	SUCO
DLBCL vs CONTROL	ENSG00000101745	ANKRD12
DLBCL vs CONTROL	ENSG00000103769	RAB11A
DLBCL vs CONTROL	ENSG00000103876	FAH
DLBCL vs CONTROL	ENSG00000108219	TSPAN14
DLBCL vs CONTROL	ENSG00000108306	FBXL20
DLBCL vs CONTROL	ENSG00000110422	HIPK3
DLBCL vs CONTROL	ENSG00000112851	ERBIN
DLBCL vs CONTROL	ENSG00000113810	SMC4
DLBCL vs CONTROL	ENSG00000114127	XRN1
DLBCL vs CONTROL	ENSG00000115760	BIRC6
DLBCL vs CONTROL	ENSG00000117523	PRRC2C
DLBCL vs CONTROL	ENSG00000117602	RCAN3
DLBCL vs CONTROL	ENSG00000124942	AHNAK
DLBCL vs CONTROL	ENSG00000129003	VPS13C
DLBCL vs CONTROL	ENSG00000129691	ASH2L
DLBCL vs CONTROL	ENSG00000131100	ATP6V1E1
DLBCL vs CONTROL	ENSG00000131149	GSE1
DLBCL vs CONTROL	ENSG00000132383	RPA1
DLBCL vs CONTROL	ENSG00000135837	CEP350
DLBCL vs CONTROL	ENSG00000141179	PCTP
DLBCL vs CONTROL	ENSG00000141519	CCDC40
DLBCL vs CONTROL	ENSG00000142002	DPP9
DLBCL vs CONTROL	ENSG00000143549	TPM3
DLBCL vs CONTROL	ENSG00000145715	RASA1
DLBCL vs CONTROL	ENSG00000146463	ZMYM4
DLBCL vs CONTROL	ENSG00000147459	DOCK5
DLBCL vs CONTROL	ENSG00000151292	CSNK1G3
DLBCL vs CONTROL	ENSG00000151414	NEK7
DLBCL vs CONTROL	ENSG00000152127	MGAT5
DLBCL vs CONTROL	ENSG00000153064	BANK1
DLBCL vs CONTROL	ENSG00000157540	DYRK1A
DLBCL vs CONTROL	ENSG00000159256	MORC3
DLBCL vs CONTROL	ENSG00000160551	TAOK1
DLBCL vs CONTROL	ENSG00000162909	CAPN2
DLBCL vs CONTROL	ENSG00000163960	UBXN7
DLBCL vs CONTROL	ENSG00000165119	HNRNPK
DLBCL vs CONTROL	ENSG00000168300	PCMTD1
DLBCL vs CONTROL	ENSG00000173230	GOLGB1
