cohort	ensembl_gene	gene_name	type	nr_samples	pos_z	neg_z	consensus_BTG_cancer	consensus_BTG_combined
three-cancer	ENSG00000172164	SNTB1	PRAD	10	10	0	TRUE	TRUE
three-cancer	ENSG00000170027	YWHAG	PRAD	8	8	0	TRUE	TRUE
three-cancer	ENSG00000100580	TMED8	PRAD	7	7	0		TRUE
three-cancer	ENSG00000105851	PIK3CG	PRAD	7	7	0	TRUE	TRUE
three-cancer	ENSG00000115128	SF3B6	PRAD	7	0	7	TRUE	TRUE
three-cancer	ENSG00000172164	SNTB1	OV	7	7	0	TRUE	TRUE
three-cancer	ENSG00000105426	PTPRS	OV	6	6	0	TRUE	TRUE
three-cancer	ENSG00000105426	PTPRS	PRAD	6	6	0		TRUE
three-cancer	ENSG00000108179	PPIF	PRAD	6	6	0	TRUE	TRUE
three-cancer	ENSG00000111674	ENO2	OV	6	6	0	TRUE	TRUE
three-cancer	ENSG00000115306	SPTBN1	PRAD	6	6	0	TRUE	TRUE
three-cancer	ENSG00000117505	DR1	OV	6	6	0	TRUE	
three-cancer	ENSG00000127603	MACF1	OV	6	6	0	TRUE	TRUE
three-cancer	ENSG00000132359	RAP1GAP2	PRAD	6	6	0		TRUE
three-cancer	ENSG00000143631	FLG	PRAD	6	6	0	TRUE	TRUE
three-cancer	ENSG00000144579	CTDSP1	PRAD	6	6	0	TRUE	TRUE
three-cancer	ENSG00000163221	S100A12	PRAD	6	0	6	TRUE	TRUE
three-cancer	ENSG00000166337	TAF10	OV	6	6	0	TRUE	TRUE
three-cancer	ENSG00000168298	HIST1H1E	OV	6	0	6	TRUE	TRUE
three-cancer	ENSG00000205302	SNX2	OV	6	1	5	TRUE	TRUE
three-cancer	ENSG00000001461	NIPAL3	PRAD	5	5	0	TRUE	TRUE
three-cancer	ENSG00000064201	TSPAN32	OV	5	5	0	TRUE	TRUE
three-cancer	ENSG00000070423	RNF126	OV	5	0	5	TRUE	
three-cancer	ENSG00000090020	SLC9A1	OV	5	5	0	TRUE	TRUE
three-cancer	ENSG00000090316	MAEA	OV	5	0	5	TRUE	
three-cancer	ENSG00000091039	OSBPL8	OV	5	5	0	TRUE	
three-cancer	ENSG00000100580	TMED8	OV	5	5	0	TRUE	TRUE
three-cancer	ENSG00000105698	USF2	PRAD	5	5	0		
three-cancer	ENSG00000105851	PIK3CG	OV	5	5	0		TRUE
three-cancer	ENSG00000113282	CLINT1	OV	5	5	0	TRUE	TRUE
three-cancer	ENSG00000124172	ATP5F1E	OV	5	0	5	TRUE	
three-cancer	ENSG00000127914	AKAP9	OV	5	5	0	TRUE	
three-cancer	ENSG00000128340	RAC2	OV	5	0	5	TRUE	TRUE
three-cancer	ENSG00000133104	SPART	OV	5	5	0	TRUE	
three-cancer	ENSG00000135090	TAOK3	OV	5	5	0	TRUE	TRUE
three-cancer	ENSG00000138801	PAPSS1	PRAD	5	5	0		TRUE
three-cancer	ENSG00000141562	NARF	OV	5	0	5	TRUE	TRUE
three-cancer	ENSG00000143418	CERS2	PRAD	5	5	0		TRUE
three-cancer	ENSG00000143546	S100A8	PRAD	5	0	5	TRUE	TRUE
three-cancer	ENSG00000143631	FLG	UCEC	5	5	0	TRUE	TRUE
three-cancer	ENSG00000150593	PDCD4	PRAD	5	0	5	TRUE	TRUE
three-cancer	ENSG00000154822	PLCL2	OV	5	0	5	TRUE	TRUE
three-cancer	ENSG00000159840	ZYX	PRAD	5	5	0	TRUE	TRUE
three-cancer	ENSG00000160799	CCDC12	OV	5	0	5	TRUE	
three-cancer	ENSG00000163221	S100A12	OV	5	0	5		TRUE
three-cancer	ENSG00000165757	JCAD	PRAD	5	5	0	TRUE	TRUE
three-cancer	ENSG00000166337	TAF10	PRAD	5	5	0	TRUE	TRUE
three-cancer	ENSG00000169738	DCXR	OV	5	0	5	TRUE	
three-cancer	ENSG00000169976	SF3B5	OV	5	0	5	TRUE	TRUE
three-cancer	ENSG00000170873	MTSS1	PRAD	5	5	0		TRUE
three-cancer	ENSG00000173221	GLRX	OV	5	0	5	TRUE	TRUE
three-cancer	ENSG00000173221	GLRX	PRAD	5	0	5		TRUE
three-cancer	ENSG00000174099	MSRB3	OV	5	5	0	TRUE	
three-cancer	ENSG00000178732	GP5	OV	5	5	0		TRUE
three-cancer	ENSG00000186815	TPCN1	PRAD	5	5	0		
three-cancer	ENSG00000198771	RCSD1	OV	5	0	5	TRUE	
three-cancer	ENSG00000213619	NDUFS3	OV	5	0	5	TRUE	TRUE
three-cancer	ENSG00000255302	EID1	OV	5	5	0	TRUE	TRUE
three-cancer	ENSG00000277791	PSMB3	OV	5	0	5	TRUE	
three-cancer	ENSG00000278588	HIST1H2BI	OV	5	0	5	TRUE	TRUE
three-cancer	ENSG00000007080	CCDC124	OV	4	0	4		
three-cancer	ENSG00000026508	CD44	PRAD	4	0	4		TRUE
three-cancer	ENSG00000034510	TMSB10	OV	4	0	4		
three-cancer	ENSG00000063177	RPL18	OV	4	0	4		
three-cancer	ENSG00000065413	ANKRD44	OV	4	0	4		
three-cancer	ENSG00000079459	FDFT1	OV	4	0	4		
three-cancer	ENSG00000081181	ARG2	OV	4	4	0		
three-cancer	ENSG00000083168	KAT6A	OV	4	4	0		
three-cancer	ENSG00000083845	RPS5	OV	4	0	4		
three-cancer	ENSG00000084207	GSTP1	OV	4	0	4		
three-cancer	ENSG00000086061	DNAJA1	OV	4	0	4	TRUE	TRUE
three-cancer	ENSG00000086189	DIMT1	OV	4	4	0		
three-cancer	ENSG00000087087	SRRT	OV	4	0	4		TRUE
three-cancer	ENSG00000089157	RPLP0	OV	4	0	4		
three-cancer	ENSG00000090020	SLC9A1	PRAD	4	4	0	TRUE	TRUE
three-cancer	ENSG00000092929	UNC13D	OV	4	4	0		
three-cancer	ENSG00000099341	PSMD8	OV	4	0	4		TRUE
three-cancer	ENSG00000100092	SH3BP1	OV	4	0	4		
three-cancer	ENSG00000100300	TSPO	PRAD	4	0	4		
three-cancer	ENSG00000100353	EIF3D	OV	4	0	4		
three-cancer	ENSG00000100519	PSMC6	PRAD	4	0	4		
three-cancer	ENSG00000102024	PLS3	PRAD	4	4	0		
three-cancer	ENSG00000102103	PQBP1	OV	4	0	4		TRUE
three-cancer	ENSG00000105193	RPS16	OV	4	0	4		
three-cancer	ENSG00000105202	FBL	OV	4	0	4		
three-cancer	ENSG00000105372	RPS19	OV	4	0	4		
three-cancer	ENSG00000105373	NOP53	OV	4	0	4		
three-cancer	ENSG00000105640	RPL18A	OV	4	0	4		
three-cancer	ENSG00000106211	HSPB1	OV	4	4	0		
three-cancer	ENSG00000106609	TMEM248	PRAD	4	4	0		
three-cancer	ENSG00000106948	AKNA	OV	4	0	4		TRUE
three-cancer	ENSG00000108106	UBE2S	OV	4	0	4	TRUE	
three-cancer	ENSG00000108107	RPL28	OV	4	0	4		
three-cancer	ENSG00000108179	PPIF	OV	4	4	0		TRUE
three-cancer	ENSG00000108179	PPIF	UCEC	4	4	0		TRUE
three-cancer	ENSG00000108298	RPL19	OV	4	0	4		
three-cancer	ENSG00000109475	RPL34	OV	4	0	4		
three-cancer	ENSG00000110002	VWA5A	OV	4	4	0		
three-cancer	ENSG00000113282	CLINT1	PRAD	4	4	0		TRUE
three-cancer	ENSG00000113387	SUB1	PRAD	4	0	4		
three-cancer	ENSG00000114391	RPL24	OV	4	0	4		
three-cancer	ENSG00000114480	GBE1	OV	4	4	0		
three-cancer	ENSG00000114942	EEF1B2	OV	4	0	4		
three-cancer	ENSG00000115268	RPS15	OV	4	0	4		
three-cancer	ENSG00000115738	ID2	OV	4	0	4		
three-cancer	ENSG00000117676	RPS6KA1	OV	4	0	4		
