comparison CV iteration BTG_identification BTG_set auc ci_lower ci_upper
OVvsCTRL start rep1_1 1FT_zc 116 1 1 1
OVvsCTRL start rep1_2 1FT_zc 113 1 1 1
OVvsCTRL start rep1_3 1FT_zc 243 0.75 0.2335 1
OVvsCTRL start rep1_4 1FT_zc 37 1 1 1
OVvsCTRL start rep1_5 1FT_zc 49 1 1 1
OVvsCTRL start rep2_1 1FT_zc 102 1 1 1
OVvsCTRL start rep2_2 1FT_zc 63 1 1 1
OVvsCTRL start rep2_3 1FT_zc 63 1 1 1
OVvsCTRL start rep2_4 1FT_zc 152 0.75 0.1842 1
OVvsCTRL start rep2_5 1FT_zc 26 0.8333 0.4561 1
OVvsCTRL start rep3_1 1FT_zc 34 1 1 1
OVvsCTRL start rep3_2 1FT_zc 68 1 1 1
OVvsCTRL start rep3_3 1FT_zc 39 1 1 1
OVvsCTRL start rep3_4 1FT_zc 174 1 1 1
OVvsCTRL start rep3_5 1FT_zc 139 0.6667 0.2047 1
OVvsCTRL start rep4_1 1FT_zc 65 1 1 1
OVvsCTRL start rep4_2 1FT_zc 54 1 1 1
OVvsCTRL start rep4_3 1FT_zc 38 1 1 1
OVvsCTRL start rep4_4 1FT_zc 27 1 1 1
OVvsCTRL start rep4_5 1FT_zc 271 0.375 0 1
OVvsCTRL start rep5_1 1FT_zc 54 1 1 1
OVvsCTRL start rep5_2 1FT_zc 21 1 1 1
OVvsCTRL start rep5_3 1FT_zc 244 0.6667 0.125 1
OVvsCTRL start rep5_4 1FT_zc 46 1 1 1
OVvsCTRL start rep5_5 1FT_zc 108 1 1 1
OVvsCTRL start rep6_1 1FT_zc 110 1 1 1
OVvsCTRL start rep6_2 1FT_zc 123 0.75 0.26 1
OVvsCTRL start rep6_3 1FT_zc 54 0.8889 0.5809 1
OVvsCTRL start rep6_4 1FT_zc 46 1 1 1
OVvsCTRL start rep6_5 1FT_zc 47 0.8333 0.5067 1
OVvsCTRL start rep7_1 1FT_zc 44 1 1 1
OVvsCTRL start rep7_2 1FT_zc 136 1 1 1
OVvsCTRL start rep7_3 1FT_zc 75 0.8333 0.3714 1
OVvsCTRL start rep7_4 1FT_zc 34 1 1 1
OVvsCTRL start rep7_5 1FT_zc 91 0.5 0 1
OVvsCTRL start rep8_1 1FT_zc 184 1 1 1
OVvsCTRL start rep8_2 1FT_zc 101 0.8333 0.5067 1
OVvsCTRL start rep8_3 1FT_zc 113 1 1 1
OVvsCTRL start rep8_4 1FT_zc 17 1 1 1
OVvsCTRL start rep8_5 1FT_zc 43 0.8333 0.5067 1
OVvsCTRL start rep9_1 1FT_zc 55 0.6667 0 1
OVvsCTRL start rep9_2 1FT_zc 27 1 1 1
OVvsCTRL start rep9_3 1FT_zc 58 0.8333 0.5067 1
OVvsCTRL start rep9_4 1FT_zc 57 1 1 1
OVvsCTRL start rep9_5 1FT_zc 215 0.5833 0 1
OVvsCTRL start rep10_1 1FT_zc 34 1 1 1
OVvsCTRL start rep10_2 1FT_zc 196 0.75 0.26 1
OVvsCTRL start rep10_3 1FT_zc 24 1 1 1
OVvsCTRL start rep10_4 1FT_zc 85 1 1 1
OVvsCTRL start rep10_5 1FT_zc 73 0.7222 0.167 1
