comparison CV iteration BTG_identification BTG_set auc ci_lower ci_upper
PRADvsCTRL start rep1_1 1FT_zc 16 1 1 1
PRADvsCTRL start rep1_2 1FT_zc 20 1 1 1
PRADvsCTRL start rep1_3 1FT_zc 19 1 1 1
PRADvsCTRL start rep1_4 1FT_zc 29 1 1 1
PRADvsCTRL start rep1_5 1FT_zc 20 1 1 1
PRADvsCTRL start rep2_1 1FT_zc 31 1 1 1
PRADvsCTRL start rep2_2 1FT_zc 30 1 1 1
PRADvsCTRL start rep2_3 1FT_zc 11 1 1 1
PRADvsCTRL start rep2_4 1FT_zc 15 1 1 1
PRADvsCTRL start rep2_5 1FT_zc 34 0.75 0.26 1
PRADvsCTRL start rep3_1 1FT_zc 78 1 1 1
PRADvsCTRL start rep3_2 1FT_zc 27 1 1 1
PRADvsCTRL start rep3_3 1FT_zc 6 1 1 1
PRADvsCTRL start rep3_4 1FT_zc 12 0.75 0.26 1
PRADvsCTRL start rep3_5 1FT_zc 27 1 1 1
PRADvsCTRL start rep4_1 1FT_zc 19 0.9167 0.6857 1
PRADvsCTRL start rep4_2 1FT_zc 21 1 1 1
PRADvsCTRL start rep4_3 1FT_zc 82 0.75 0.26 1
PRADvsCTRL start rep4_4 1FT_zc 30 0.9444 0.7905 1
PRADvsCTRL start rep4_5 1FT_zc 25 1 1 1
PRADvsCTRL start rep5_1 1FT_zc 19 1 1 1
PRADvsCTRL start rep5_2 1FT_zc 72 0.75 0.057 1
PRADvsCTRL start rep5_3 1FT_zc 11 1 1 1
PRADvsCTRL start rep5_4 1FT_zc 36 1 1 1
PRADvsCTRL start rep5_5 1FT_zc 31 1 1 1
PRADvsCTRL start rep6_1 1FT_zc 24 1 1 1
PRADvsCTRL start rep6_2 1FT_zc 23 1 1 1
PRADvsCTRL start rep6_3 1FT_zc 16 1 1 1
PRADvsCTRL start rep6_4 1FT_zc 51 0.6667 0.34 0.9933
PRADvsCTRL start rep6_5 1FT_zc 19 1 1 1
PRADvsCTRL start rep7_1 1FT_zc 29 1 1 1
PRADvsCTRL start rep7_2 1FT_zc 24 1 1 1
PRADvsCTRL start rep7_3 1FT_zc 37 1 1 1
PRADvsCTRL start rep7_4 1FT_zc 30 1 1 1
PRADvsCTRL start rep7_5 1FT_zc 26 1 1 1
PRADvsCTRL start rep8_1 1FT_zc 40 1 1 1
PRADvsCTRL start rep8_2 1FT_zc 16 1 1 1
PRADvsCTRL start rep8_3 1FT_zc 20 1 1 1
PRADvsCTRL start rep8_4 1FT_zc 27 1 1 1
PRADvsCTRL start rep8_5 1FT_zc 54 0.6667 0.34 0.9933
PRADvsCTRL start rep9_1 1FT_zc 31 1 1 1
PRADvsCTRL start rep9_2 1FT_zc 30 1 1 1
PRADvsCTRL start rep9_3 1FT_zc 25 1 1 1
PRADvsCTRL start rep9_4 1FT_zc 20 1 1 1
PRADvsCTRL start rep9_5 1FT_zc 35 1 1 1
PRADvsCTRL start rep10_1 1FT_zc 35 1 1 1
PRADvsCTRL start rep10_2 1FT_zc 35 1 1 1
PRADvsCTRL start rep10_3 1FT_zc 36 1 1 1
PRADvsCTRL start rep10_4 1FT_zc 9 1 1 1
PRADvsCTRL start rep10_5 1FT_zc 27 1 1 1
