comparison CV iteration BTG_identification BTG_set auc ci_lower ci_upper
UCECvsCTRL start rep1_1 1FT_zc 2 0.6667 0.34 0.9933
UCECvsCTRL start rep1_2 1FT_zc 13 0.5833 0 1
UCECvsCTRL start rep1_3 1FT_zc 16 0.4167 0 1
UCECvsCTRL start rep1_4 1FT_zc 6 0.75 0.26 1
UCECvsCTRL start rep1_5 1FT_zc 5 0.5 0.5 0.5
UCECvsCTRL start rep2_1 1FT_zc 5 0.6667 0.34 0.9933
UCECvsCTRL start rep2_2 1FT_zc 4 0.75 0.26 1
UCECvsCTRL start rep2_3 1FT_zc 9 0.5833 0 1
UCECvsCTRL start rep2_4 1FT_zc 9 0.3333 0.0067 0.66
UCECvsCTRL start rep2_5 1FT_zc 8 0.7222 0.167 1
UCECvsCTRL start rep3_1 1FT_zc 5 0.6667 0.34 0.9933
UCECvsCTRL start rep3_2 1FT_zc 8 0.5833 0 1
UCECvsCTRL start rep3_3 1FT_zc 2 0.5 0.5 0.5
UCECvsCTRL start rep3_4 1FT_zc 16 0.4167 0 1
UCECvsCTRL start rep3_5 1FT_zc 9 0.3333 0.0067 0.66
UCECvsCTRL start rep4_1 1FT_zc 10 0.5833 0 1
UCECvsCTRL start rep4_2 1FT_zc 9 0.6667 0.125 1
UCECvsCTRL start rep4_3 1FT_zc 10 0.5 0.5 0.5
UCECvsCTRL start rep4_4 1FT_zc 3 0.6667 0.34 0.9933
UCECvsCTRL start rep4_5 1FT_zc 4 0.5 0 1
UCECvsCTRL start rep5_1 1FT_zc 6 0.6667 0.34 0.9933
UCECvsCTRL start rep5_2 1FT_zc 6 0.5833 0 1
UCECvsCTRL start rep5_3 1FT_zc 5 0.5 0.5 0.5
UCECvsCTRL start rep5_4 1FT_zc 13 0.75 0.26 1
UCECvsCTRL start rep5_5 1FT_zc 6 0.5 0.5 0.5
UCECvsCTRL start rep6_1 1FT_zc 5 0.75 0.26 1
UCECvsCTRL start rep6_2 1FT_zc 6 0.5 0.5 0.5
UCECvsCTRL start rep6_3 1FT_zc 6 0.5 0.5 0.5
UCECvsCTRL start rep6_4 1FT_zc 6 0.6667 0.34 0.9933
UCECvsCTRL start rep6_5 1FT_zc 6 0.5 0 1
UCECvsCTRL start rep7_1 1FT_zc 10 0.5 0.038 0.962
UCECvsCTRL start rep7_2 1FT_zc 5 0.5 0.038 0.962
UCECvsCTRL start rep7_3 1FT_zc 7 0.3333 0.0067 0.66
UCECvsCTRL start rep7_4 1FT_zc 7 0.5 0.5 0.5
UCECvsCTRL start rep7_5 1FT_zc 10 0.5 0 1
UCECvsCTRL start rep8_1 1FT_zc 12 0.5833 0 1
UCECvsCTRL start rep8_2 1FT_zc 8 0.6667 0.125 1
UCECvsCTRL start rep8_3 1FT_zc 5 0.6667 0.34 0.9933
UCECvsCTRL start rep8_4 1FT_zc 2 0.75 0.26 1
UCECvsCTRL start rep8_5 1FT_zc 6 0.8333 0.5067 1
UCECvsCTRL start rep9_1 1FT_zc 6 0.6667 0.34 0.9933
UCECvsCTRL start rep9_2 1FT_zc 3 1 1 1
UCECvsCTRL start rep9_3 1FT_zc 8 0.5 0 1
UCECvsCTRL start rep9_4 1FT_zc 6 0.5 0.5 0.5
UCECvsCTRL start rep9_5 1FT_zc 6 0.6667 0.34 0.9933
UCECvsCTRL start rep10_1 1FT_zc 6 0.5 0.5 0.5
UCECvsCTRL start rep10_2 1FT_zc 3 0.6667 0.34 0.9933
UCECvsCTRL start rep10_3 1FT_zc 2 0.75 0.26 1
UCECvsCTRL start rep10_4 1FT_zc 13 0.6667 0 1
UCECvsCTRL start rep10_5 1FT_zc 7 0.25 0 0.74
