comparison CV iteration BTG_identification BTG_set auc ci_lower ci_upper
PRADvsCTRL start rep1_1 1FT_zc 291 0.9912 0.9669 1
PRADvsCTRL start rep1_2 1FT_zc 258 1 1 1
PRADvsCTRL start rep1_3 1FT_zc 290 0.9537 0.8612 1
PRADvsCTRL start rep1_4 1FT_zc 292 0.9474 0.852 1
PRADvsCTRL start rep1_5 1FT_zc 330 0.9722 0.8952 1
PRADvsCTRL start rep2_1 1FT_zc 319 0.9737 0.9141 1
PRADvsCTRL start rep2_2 1FT_zc 314 0.8981 0.7594 1
PRADvsCTRL start rep2_3 1FT_zc 301 1 1 1
PRADvsCTRL start rep2_4 1FT_zc 260 1 1 1
PRADvsCTRL start rep2_5 1FT_zc 271 1 1 1
PRADvsCTRL start rep3_1 1FT_zc 303 1 1 1
PRADvsCTRL start rep3_2 1FT_zc 288 0.9737 0.9007 1
PRADvsCTRL start rep3_3 1FT_zc 335 0.9298 0.8129 1
PRADvsCTRL start rep3_4 1FT_zc 240 0.9825 0.9338 1
PRADvsCTRL start rep3_5 1FT_zc 272 1 1 1
PRADvsCTRL start rep4_1 1FT_zc 305 1 1 1
PRADvsCTRL start rep4_2 1FT_zc 310 0.9444 0.8356 1
PRADvsCTRL start rep4_3 1FT_zc 334 0.9123 0.7786 1
PRADvsCTRL start rep4_4 1FT_zc 243 0.9649 0.894 1
PRADvsCTRL start rep4_5 1FT_zc 275 1 1 1
PRADvsCTRL start rep5_1 1FT_zc 269 1 1 1
PRADvsCTRL start rep5_2 1FT_zc 278 0.9605 0.879 1
PRADvsCTRL start rep5_3 1FT_zc 295 0.9815 0.9302 1
PRADvsCTRL start rep5_4 1FT_zc 303 0.9825 0.9338 1
PRADvsCTRL start rep5_5 1FT_zc 300 0.9825 0.944 1
PRADvsCTRL start rep6_1 1FT_zc 299 1 1 1
PRADvsCTRL start rep6_2 1FT_zc 261 0.963 0.8818 1
PRADvsCTRL start rep6_3 1FT_zc 312 0.9474 0.8222 1
PRADvsCTRL start rep6_4 1FT_zc 276 1 1 1
PRADvsCTRL start rep6_5 1FT_zc 300 1 1 1
PRADvsCTRL start rep7_1 1FT_zc 317 0.9444 0.8433 1
PRADvsCTRL start rep7_2 1FT_zc 307 0.9825 0.9338 1
PRADvsCTRL start rep7_3 1FT_zc 242 0.9444 0.8356 1
PRADvsCTRL start rep7_4 1FT_zc 288 0.9605 0.879 1
PRADvsCTRL start rep7_5 1FT_zc 305 1 1 1
PRADvsCTRL start rep8_1 1FT_zc 315 0.9825 0.9338 1
PRADvsCTRL start rep8_2 1FT_zc 305 0.9474 0.8442 1
PRADvsCTRL start rep8_3 1FT_zc 289 1 1 1
PRADvsCTRL start rep8_4 1FT_zc 284 1 1 1
PRADvsCTRL start rep8_5 1FT_zc 259 0.9912 0.9669 1
PRADvsCTRL start rep9_1 1FT_zc 286 1 1 1
PRADvsCTRL start rep9_2 1FT_zc 290 1 1 1
PRADvsCTRL start rep9_3 1FT_zc 301 0.9074 0.7771 1
PRADvsCTRL start rep9_4 1FT_zc 281 1 1 1
PRADvsCTRL start rep9_5 1FT_zc 292 0.9907 0.9651 1
PRADvsCTRL start rep10_1 1FT_zc 312 0.9722 0.8952 1
PRADvsCTRL start rep10_2 1FT_zc 266 1 1 1
PRADvsCTRL start rep10_3 1FT_zc 246 1 1 1
PRADvsCTRL start rep10_4 1FT_zc 331 0.9649 0.888 1
PRADvsCTRL start rep10_5 1FT_zc 300 0.9211 0.8029 1
