ensembl_gene_id	biomarkerset	external_gene_name	description
ENSG00000001461	DLBCLvsCtrl	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]
ENSG00000004534	DLBCLvsCtrl	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]
ENSG00000004766	DLBCLvsCtrl	VPS50	VPS50, EARP/GARPII complex subunit [Source:HGNC Symbol;Acc:HGNC:25956]
ENSG00000004897	DLBCLvsCtrl	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]
ENSG00000011243	DLBCLvsCtrl	AKAP8L	A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]
ENSG00000015153	DLBCLvsCtrl	YAF2	YY1 associated factor 2 [Source:HGNC Symbol;Acc:HGNC:17363]
ENSG00000018189	DLBCLvsCtrl	RUFY3	RUN and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30285]
ENSG00000020922	DLBCLvsCtrl	MRE11	MRE11 homolog, double strand break repair nuclease [Source:HGNC Symbol;Acc:HGNC:7230]
ENSG00000031003	DLBCLvsCtrl	FAM13B	family with sequence similarity 13 member B [Source:HGNC Symbol;Acc:HGNC:1335]
ENSG00000033800	DLBCLvsCtrl	PIAS1	protein inhibitor of activated STAT 1 [Source:HGNC Symbol;Acc:HGNC:2752]
ENSG00000033867	DLBCLvsCtrl	SLC4A7	solute carrier family 4 member 7 [Source:HGNC Symbol;Acc:HGNC:11033]
ENSG00000037637	DLBCLvsCtrl	FBXO42	F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]
ENSG00000043093	DLBCLvsCtrl	DCUN1D1	defective in cullin neddylation 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18184]
ENSG00000047188	DLBCLvsCtrl	YTHDC2	YTH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24721]
ENSG00000047230	DLBCLvsCtrl	CTPS2	CTP synthase 2 [Source:HGNC Symbol;Acc:HGNC:2520]
ENSG00000050748	DLBCLvsCtrl	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]
ENSG00000058056	DLBCLvsCtrl	USP13	ubiquitin specific peptidase 13 [Source:HGNC Symbol;Acc:HGNC:12611]
ENSG00000058453	DLBCLvsCtrl	CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]
ENSG00000065559	DLBCLvsCtrl	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]
