ensembl_gene_id	biomarkerset	external_gene_name	description
ENSG00000001461	AllvsCtrl	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]
ENSG00000026508	AllvsCtrl	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]
ENSG00000028277	AllvsCtrl	POU2F2	POU class 2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9213]
ENSG00000038382	AllvsCtrl	TRIO	trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]
ENSG00000064201	AllvsCtrl	TSPAN32	tetraspanin 32 [Source:HGNC Symbol;Acc:HGNC:13410]
ENSG00000068745	AllvsCtrl	IP6K2	inositol hexakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:17313]
ENSG00000070423	AllvsCtrl	RNF126	ring finger protein 126 [Source:HGNC Symbol;Acc:HGNC:21151]
ENSG00000079819	AllvsCtrl	EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]
ENSG00000084623	AllvsCtrl	EIF3I	eukaryotic translation initiation factor 3 subunit I [Source:HGNC Symbol;Acc:HGNC:3272]
ENSG00000086061	AllvsCtrl	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]
ENSG00000087087	AllvsCtrl	SRRT	serrate, RNA effector molecule [Source:HGNC Symbol;Acc:HGNC:24101]
ENSG00000090020	AllvsCtrl	SLC9A1	solute carrier family 9 member A1 [Source:HGNC Symbol;Acc:HGNC:11071]
ENSG00000092929	AllvsCtrl	UNC13D	unc-13 homolog D [Source:HGNC Symbol;Acc:HGNC:23147]
ENSG00000099341	AllvsCtrl	PSMD8	proteasome 26S subunit, non-ATPase 8 [Source:HGNC Symbol;Acc:HGNC:9566]
ENSG00000100092	AllvsCtrl	SH3BP1	SH3 domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10824]
ENSG00000100300	AllvsCtrl	TSPO	translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]
ENSG00000100519	AllvsCtrl	PSMC6	proteasome 26S subunit, ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9553]
ENSG00000100580	AllvsCtrl	TMED8	transmembrane p24 trafficking protein family member 8 [Source:HGNC Symbol;Acc:HGNC:18633]
ENSG00000102103	AllvsCtrl	PQBP1	polyglutamine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9330]
ENSG00000105426	AllvsCtrl	PTPRS	protein tyrosine phosphatase, receptor type S [Source:HGNC Symbol;Acc:HGNC:9681]
ENSG00000105698	AllvsCtrl	USF2	upstream transcription factor 2, c-fos interacting [Source:HGNC Symbol;Acc:HGNC:12594]
ENSG00000105851	AllvsCtrl	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]
ENSG00000106948	AllvsCtrl	AKNA	AT-hook transcription factor [Source:HGNC Symbol;Acc:HGNC:24108]
ENSG00000108106	AllvsCtrl	UBE2S	ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]
ENSG00000108179	AllvsCtrl	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]
ENSG00000110665	AllvsCtrl	C11orf21	chromosome 11 open reading frame 21 [Source:HGNC Symbol;Acc:HGNC:13231]
ENSG00000111640	AllvsCtrl	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]
ENSG00000111674	AllvsCtrl	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]
ENSG00000113282	AllvsCtrl	CLINT1	clathrin interactor 1 [Source:HGNC Symbol;Acc:HGNC:23186]
ENSG00000115128	AllvsCtrl	SF3B6	splicing factor 3b subunit 6 [Source:HGNC Symbol;Acc:HGNC:30096]
ENSG00000115306	AllvsCtrl	SPTBN1	spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]
ENSG00000116691	AllvsCtrl	MIIP	migration and invasion inhibitory protein [Source:HGNC Symbol;Acc:HGNC:25715]
ENSG00000117505	AllvsCtrl	DR1	down-regulator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:3017]
ENSG00000117519	AllvsCtrl	CNN3	calponin 3 [Source:HGNC Symbol;Acc:HGNC:2157]
ENSG00000122515	AllvsCtrl	ZMIZ2	zinc finger MIZ-type containing 2 [Source:HGNC Symbol;Acc:HGNC:22229]
ENSG00000123136	AllvsCtrl	DDX39A	DExD-box helicase 39A [Source:HGNC Symbol;Acc:HGNC:17821]
ENSG00000124151	AllvsCtrl	NCOA3	nuclear receptor coactivator 3 [Source:HGNC Symbol;Acc:HGNC:7670]
ENSG00000124172	AllvsCtrl	ATP5F1E	ATP synthase F1 subunit epsilon [Source:HGNC Symbol;Acc:HGNC:838]
ENSG00000127603	AllvsCtrl	MACF1	microtubule-actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]
ENSG00000128340	AllvsCtrl	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]
ENSG00000128422	AllvsCtrl	KRT17	keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]
ENSG00000131323	AllvsCtrl	TRAF3	TNF receptor associated factor 3 [Source:HGNC Symbol;Acc:HGNC:12033]
ENSG00000132359	AllvsCtrl	RAP1GAP2	RAP1 GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:29176]
ENSG00000132432	AllvsCtrl	SEC61G	Sec61 translocon gamma subunit [Source:HGNC Symbol;Acc:HGNC:18277]
ENSG00000132646	AllvsCtrl	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]
ENSG00000135090	AllvsCtrl	TAOK3	TAO kinase 3 [Source:HGNC Symbol;Acc:HGNC:18133]
ENSG00000136930	AllvsCtrl	PSMB7	proteasome subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:9544]
ENSG00000138385	AllvsCtrl	SSB	Sjogren syndrome antigen B [Source:HGNC Symbol;Acc:HGNC:11316]
ENSG00000138801	AllvsCtrl	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1 [Source:HGNC Symbol;Acc:HGNC:8603]
ENSG00000141562	AllvsCtrl	NARF	nuclear prelamin A recognition factor [Source:HGNC Symbol;Acc:HGNC:29916]
ENSG00000142973	AllvsCtrl	CYP4B1	cytochrome P450 family 4 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2644]
ENSG00000143418	AllvsCtrl	CERS2	ceramide synthase 2 [Source:HGNC Symbol;Acc:HGNC:14076]
ENSG00000143546	AllvsCtrl	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]
ENSG00000143575	AllvsCtrl	HAX1	HCLS1 associated protein X-1 [Source:HGNC Symbol;Acc:HGNC:16915]
ENSG00000143631	AllvsCtrl	FLG	filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]
ENSG00000144021	AllvsCtrl	CIAO1	cytosolic iron-sulfur assembly component 1 [Source:HGNC Symbol;Acc:HGNC:14280]
ENSG00000144579	AllvsCtrl	CTDSP1	CTD small phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:21614]
ENSG00000145287	AllvsCtrl	PLAC8	placenta specific 8 [Source:HGNC Symbol;Acc:HGNC:19254]
ENSG00000150316	AllvsCtrl	CWC15	CWC15 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:26939]
ENSG00000150593	AllvsCtrl	PDCD4	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]
ENSG00000154822	AllvsCtrl	PLCL2	phospholipase C like 2 [Source:HGNC Symbol;Acc:HGNC:9064]
ENSG00000156206	AllvsCtrl	CFAP161	cilia and flagella associated protein 161 [Source:HGNC Symbol;Acc:HGNC:26782]
ENSG00000159840	AllvsCtrl	ZYX	zyxin [Source:HGNC Symbol;Acc:HGNC:13200]
